"year","unique_countries","international_countries","total_titles","international_ratio"
"2008","1","0","2","0.00"
"2009","2","1","2","0.50"
"2010","1","0","1","0.00"
"2011","2","1","13","0.08"
"2012","2","1","3","0.33"
"2013","4","3","11","0.27"
"2014","10","9","25","0.36"
"2015","23","31","88","0.35"
"2016","89","265","443","0.60"
"2017","181","790","1225","0.64"
"2018","216","1100","1685","0.65"
"2019","241","1262","2153","0.59"
"2020","252","1212","2009","0.60"
"2021","30","47","117","0.40"
